Actual,Message,Predicted
None,b'$AAPL \x93&#39;CBS This Morning&#39; to Interview Apple&#39;s SVP Angela Ahrendts Tomorrow - Patently Apple\x94\n\nhttp://www.patentlyapple.com/patently-apple/2017/04/cbs-this-morning-to-interview-apples-svp-angela-ahrendts-tomorrow.html',None
Bullish,b'$AAPL \x93Apple&#39;s Self-Driving Dream Team Revealed! Meet Ruslan Salakhutdinov &amp; His Crew \xab Driverless\x94\n\nhttps://www.driverless.id/news/apples-self-driving-dream-team-revealed-meet-ruslan-salakhutdinov-his-crew-0177271/',Bullish
Bullish,b'$AAPL \x93Apple Snags Another AR/VR Expert# this Time from NASA - The Mac Observer\x94\n\nhttps://www.macobserver.com/news/apple-snags-another-arvr-expert-time-nasa/',None
None,b'$spy $aapl $tsla ??? $ES_F',None
None,b'$AAPL the bulls in full control for now but there is unique indicator that sending a warning signal or not agreeing on recent bullish pop up',Bearish
None,b'$AAPL Trump to delay push for wall until Sept.',Bearish
None,b'How successful is the Apple Watch $aapl  https://om.blog/2017/04/how-successful-is-the-apple-watch/',Bullish
None,b'Pew: The Future of Free Speech# Trolls# Anonymity and Fake News Online - http://www.pewinternet.org/2017/03/29/the-future-of-free-speech-trolls-anonymity-and-fake-news-online/ - $FB $GOOG $TWTR $SNAP $MSFT $AAPL',None
Bullish,b'$AAPL Trump wants a 15% corp rate. Even at 20%# $220M after tax cash coming back or $42 a share! ? Not even 50% is baked in! Should be 155!',None
None,b'Market Commentary For Tue# Apr 25 $XOM# $TSLA# $BAC# $APC# $SPY# $FB# $GLD# $GS# $XLE# $IBM# $AAPL# $GDX# $XLF# $BA http://crweworld.com/article/finance/70006/the-moskowitz-report-xom-tsla-bac-apc-spy-fb-gld-googl-gs-xle-amzn-ibm-aapl-gdx-xlf-ba-nflx-jpm-stock-market-commentary-for-tuesday-april-25-2017',None
Bullish,b'$HTZ Apple Partners With Donlen A Hertz Company To Develope Autonomous Driving Software! $aapl $car http://www.valuewalk.com/2017/04/apple-car-automated-driving-platform/',None
None,b'Another Election passes and Stocks jump Higher http://bigwavetrading.com/35996/another-election-passes-and-stocks-jump-higher/ $VIX $NDX $COMPQ $AMZN $GOOGL $FB $AAPL $FED $XLF',None
None,b'Everyone AFRAID to short the market until after $AAPL earnings 5.2.2017 -- which could work just FINE',None
None,b'$AAPL $SPY World markets doing a Full Kermit right now. https://www.investing.com/indices/indices-futures',None
None,b'$AAPL $GOOG $AMZN overall I am bullish. But given the run they have had I think they sell into earnings',None
Bullish,b'$AAPL How to Trade Volatility in Apple Options http://bit.ly/AAPL_vol\n-\nI think this is really interesting.',Bearish
None,b'@LYogi Distressed today# buy low... or future shaky as past. $BBRY Patents good# but competition execute better. $AAPL $GOOGL $VMW $FB etc.',Bullish
None,b'don&#39;t have to be a member to become an expert on option insights: \nhttp://bit.ly/__discover\n\n$AAPL $TSLA $AMZN $NVDA',None
Bullish,b'$AAPL Great summary of Saber Capital&#39;s letter - long thesis for Apple (great read): https://investoralmanac.com/2017/02/14/saber-capital-letter-2016-review-apple-verisign/',Bullish
None,b'Buzz $aapl #ar #justbuy  $vuzi https://twitter.com/appleinsider/status/856662820712321024',None
None,b'$AAPL $FB there has never been a bad price to enter long and hold.',Bearish
None,b'$AAPL Spotify Wants to Compete With Apple# Inc. on Hardware Now# Too? https://www.fool.com/investing/2017/04/24/spotify-wants-to-compete-with-apple-inc-on-hardwar.aspx?yptr=yahoo via https://finzine.com',None
Bearish,b'$AAPL Going to crash like a ton of bricks. PT $84',None
Bullish,b'$MSFT $AAPL  so glad I dumped apples for a real playa# I know',None
None,b'@bigvalue How much of $AAPL 4 your turn around was with Steve Jobs in charge? Are you including Pepsi fool in that time period?',None
None,b'VIDEO: $XLK $AAPL $FB Technical Analysis Chart 4/24/2017 https://chartguys.com/tickers/aapl #markets #NASDAQ #NYSE #technicalanalysis #daytrader',None
Bullish,b'$WATT speculating about $AAPL WWDC in early June: beta of ios 11 will be released - wondering if code snipets will reveal anything',None
None,b'$AAPL is iphone7 already out?',None
None,b'4 Charts That Tell Different Tales $NVDA $AAPL $QCOM http://realmoney.thestreet.com/articles/04/23/2017/4-charts-tell-different-tales?puc=yahoo&amp;cm_ven=YAHOO&amp;yptr=yahoo',None
None,b'$AAPL.   Strong still.  Powering the  $QQQ. $SPY',Bullish
None,b'Final one: $AAPL Bullish if it can break above this level! #MNM',Bearish
None,b'$AAPL Apple delays release of first original series &#39;Carpool Karaoke&#39; http://finance.yahoo.com/news/apple-delays-release-first-original-004934009.html via https://finzine.com',Bearish
None,b'Buy signal Nasdaq 2x Rydex etf.   Up 27% for 2017.   $RYVYX $QQQ $SPY \n$AAPL',None
None,b'$AAPL for all intent and purposes my trading is done for the year:(',None
Bullish,b'$AAPL Punditry 101: The Echo is a huge success. The Apple Watch isn\x92t. This despite the fact that Apple sold more Watches.',Bullish
None,b'$AAPL options OI for earnings week',None
None,b'$AAPL earning play options IV is low ... if ur interested',None
None,b'$AAPL  UPDATE  https://youtu.be/BuseUgsleTQ',None
Bullish,b'@Isildur1 Wink Wink ?or should I say Slim. $AAPL# $FB. Thanks for the bearish post ? after ER report',None
None,b'$TMUS lots of bottles shaking and clanking at triple top.. any report on $AAPL iphones ?',None
None,b'$AAPL interesting',None
None,b'$AAPL shorts burn tomorrow',None
None,b'$SPY $aapl $tsla tax cuts will mostly benefit Trump and buds yet GOP doesn&#39;t like it being paid for based on &quot;hope&quot;.\nhttp://money.cnn.com/2017/04/24/news/economy/trump-corporate-tax-rate/index.html',Bullish
None,b'$AAPL posted this in Feb... yes... we killed it! Congrats to my followers here on ST...',None
Bullish,b'$AAPL prediction ... open at $144+ tomorrow',None
Bearish,b'$AAPL $fb Seems they overly hyped the markets today....$UVXY bounce tomorrow and we sell off tomorrow',None
Bullish,b'$AAPL John Gruber nails it.',None
Bullish,b'$AAPL $FB missed slim in both the boards today',Bearish
Bullish,b'$AAPL $FB momentum confirmed. Decent volume on broad market rise.  See you at 150.',None
None,b'Dow up 216 points. $AMZN $AAPL $TSLA lead. Chart and Video: https://www.periscope.tv/NaviAvatar',None
Bullish,b'$AAPL Nice day# looking for more upside tomorrow!',None
None,b'$AAPL made $120 on the gap up this am# turned off trading platform was done for the day.',None
None,b'All time HIGH $XLK :) $NFLX $FB $TWTR $AAPL $TSLA $GOOG $AMZN $SNAP $FB $TWTR Todays Live Trades https://youtu.be/pmlYw5Em1aI',None
Bearish,b'$AAPL $fb Looking for a pullback tomorrow',None
None,b'$AAPL Apple# Inc. Earnings: Will Growth Continue? https://www.fool.com/investing/2017/04/24/apple-inc-earnings-will-growth-continue.aspx?yptr=yahoo via https://finzine.com',None
Bullish,b'$AAPL can I see $145 tomorrow pretty please',None
None,b'Apple# Inc. Earnings: Will Growth Continue? http://bit.ly/240417AAPL4 $AAPL',None
None,b'@imingoldwithyou thanks for careing# we know the risk/ reward# if all were like you everyone would hold $AAPL# all equal all different',Bullish
None,b'$AAPL earnings is next Tuesday',None
Bullish,b'$AAPL u cant go wrong here',Bearish
Bullish,b'$AAPL #fb If you can&#39;t beat them# join them.  #ER155',None
None,b'$AAPL $fb I have been a long term bull but short term bear. My May puts got stopped out. Gave back everything I made 2 weeks ago.',Bearish
None,b'$SPY $SPX fact of the matter markets are &lt;2% off of ATHs based on Trump Bump illusion! S&amp;P is &lt;1% from ATH-walk into $AAPL store-EMPTY!',None
None,b'RT @jfahmy: WEEKEND VIDEO: Apple# Amazon# Tesla and more! http://ow.ly/GAhf30b8tJF $SPY $AAPL $AMZN $TSLA $QQQ',None
None,b'RT @jfahmy: WEEKEND VIDEO: Apple# Amazon# Tesla and more! http://ow.ly/GAhf30b8tJF $SPY $AAPL $AMZN $TSLA $QQQ',None
None,b'$NFLX $AAPL $FB which one is more likely to touch 200 first? ?',None
None,b'@Clanky why don&#39;t you do a video like the guy who went all in on $aapl last ER',None
None,b'$AAPL Is Apple India iPhone Assembly Delayed? http://blogs.barrons.com/emergingmarketsdaily/2017/04/24/is-apple-india-iphone-assembly-delayed/?mod=yahoobarrons&amp;ru=yahoo&amp;yptr=yahoo via https://finzine.com',Bearish
Bullish,b'$AAPL $200 $300 easy',Bullish
None,b'$STUDY SP100 YTD Performance $BAC $AAPL $BA $QCOM $TGT $GILD',None
Bearish,b'$AAPL Repatriation news right before earnings news. Wow# this market is a sham.',None
None,b'If repatriation comes up on Wednesday# move to big cap tech $AAPL $MSFT $GOOG $QQQ# ready for next leg higher before shorting in 1-1/2 yrs',None
Bearish,b'$AAPL Where&#39;s the IPhone fire news#???? Only Galaxy &amp; Fitbit. Paid fake news.',None
None,b'@fredrizzioni is this the only option tho? is $WATT totally at the mercy of $AAPL? I hope not..',None
None,b'$AAPL border tax has nothing to do with it',None
None,b'$AAPL border tax keeping the beast under $145',None
None,b'$BAC $VIX $AAPL \n\nNo# they are all a-holes.',None
None,b'$AAPL $BAC $VIX Great border. It will be done.',Bullish
None,b'$BAC $VIX $AAPL The liars are your liberal Obama worst president team. Trump is the man.',Bearish
Bullish,b'$spy $aapl $tsla word on wall street is that the markets boomed because Starbucks released the Unicorn Frappuccino.',None
Bullish,b'$AAPL Valuation# profitability and cash flow snapshot https://stockrow.com/AAPL/snapshots/income',Bullish
None,b'$BAC $VIX $AAPL Trump&#39;s lies and twitter BS are the definition of market manipulation. He&#39;s using Twitter to manipulate media narrative!',Bearish
None,b'$AAPL so many political experts on stocktwits! Why stay here? Run for office# do something',None
None,b'$AAPL $BAC $VIX 5 years ago we saw in Texas# what happens when efforts to defund planned parenthood are carried out. https://www.washingtonpost.com/posteverything/wp/2017/02/07/defunding-planned-parenthood-was-a-disaster-in-texas-congress-shouldnt-do-it-nationally/',Bearish
None,b'@StocksEarning bad link. Shows $AAPL results.',Bearish
None,b'$AAPL http://www.news.com.au/technology/gadgets/mobile-phones/apple-investigates-after-iphone-7-plus-explodes-in-incident-echoing-samsungs-smartphone-scandal/news-story/f44a8ea8c5dcc5fe8ae99a1cc0477565',Bearish
None,b'$AAPl $BAC $VIX To anyone who thinks the Mexican border wall is a good idea# I encourage you to watch the movie# &quot;A Day Without a Mexican&quot;.',Bullish
None,b'$AAPL Earnings result is out. Check out next day hist price reaction# EPS &amp; Revenue Surprise. http://stocksearning.com/q.aspx?Sys=AAPL',None
None,b'7 Blue-Chip Stocks Every Investor Should Own http://bit.ly/2pbjjbI $CVX $AAPL $CAH $MSFT $GOOGL $CINF $DIS @investorplace',None
None,b'$AAPL $BAC $VIX IN 2015# GOP threatened shutdown if planned parenthood wasn&#39;t defunded. Has anything changed? No. https://www.bloomberg.com/news/articles/2015-09-30/senate-passes-u-s-spending-bill-hours-before-shutdown-deadline',Bearish
None,b'$AAPL Scurria&#39;s Take: GT Advanced Technologies Brass Sued Over Apple Breakup https://www.wsj.com/articles/scurrias-take-gt-advanced-technologies-brass-sued-over-apple-breakup-1493065705?mod=yahoo_hs&amp;yptr=yahoo via https://finzine.com',Bearish
None,b'Apple cuts App Store affiliate commission from 7% to 2.5% $AAPL https://techcrunch.com/2017/04/24/apple-cuts-app-store-affiliate-commission-from-7-to-25/',None
None,b'$AAPL huge green volume last 5 minutes',None
None,b'$BAC $AAPL $VIX If Trump wont back off on defunding planned parenthood# Drumph Wall# and his other threats# a shutdown might be unavoidable.',Bearish
None,b'Recent Purchase: Qualcomm\n https://seekingalpha.com/article/4064696?source=ansh $QCOM# $AAPL# $NXPI',None
Bearish,b'$AAPL shorting some in AHs here',None
None,b'$SPY Central Banks are trying to see which one will become Majority Shareholder of $AAPL remember Swiss Central Bank Majority holder of $FB',None
None,b'$BAC $AAPL $VIX Yields are increasing in large part because a US government shutdown on Friday is very possible. #Debt Ceiling',Bearish
None,b'$AAPL $GOOGL $AMZN $BBRY $MSFT https://www.forbes.com/sites/jaysomaney/2017/04/24/is-apple-intentionally-going-to-delay-the-high-end-iphone-8-launch/#28bf77b56b95',Bearish
Bullish,b'$AAPL will it breakout of  145.46 high?',None
None,b'Most Active Stock Options For End Of Day April 24# 2017 - $BAC# $SBUX# $AAPL# $MSFT\nhttp://www.theoptionsinsider.com/active-stock-options-end-day-april-24-2017-bac-sbux-aapl-msft/',None
Bullish,b'$AAPL will this breakout?',None
Bullish,b'$AAPL 30 trading days before earnings = good time to be long\n\n$148.50 target',Bullish
Bullish,b'$AAPL potential buy',None
Bullish,b'$AAPL sudden pop would be sweet',None
None,b'Citrix Systems (CTXS) Q1 Earnings: Is a Surprise in Store?\n http://bit.ly/240417CTXS $CTXS $LOGM $AAPL',None
Bullish,b'$AAPL Big TAX REFORM AND TAX REDUCTION will be announced\x92\x92 on April 26. same old same old',None
None,b'5 Consumer Discretionary Stocks to Buy in 2017 http://bit.ly/240417AAPL3 $AAPL $DIS $NKE $SBUX',None
Bullish,b'$AAPL i am thinking if i short here the risk is till 146 but i could be wrong thinking as it can rally 5% but cannot',Bearish
None,b'$AAPL what do we think we will see for the morning?',None
None,b'@thebrodnick Will be interesting to see how $AAPL gets into this space. I&#39;ll sell them my $VUZI at $25 right now# LOL.',None
Bullish,b'$AAPL 160 next week',None
None,b'$AAPL TRUE same thinking',None
Bullish,b'Psst... There is a pattern to Apple&#39;s stock that has made option trading a winner http://bit.ly/AAPL_vol\n-\n$AAPL',Bullish
Bullish,b'$AAPL shame on you',None
None,b'@long_time_lurker expecting a rotation from big tech into financials in the next 2 weeks. $AAPL $GOOG $FB $AMZN $BAC $GS $JPM $MS $WFC $C',None
None,b'$AAPL Our Smartphone Priorities Are All Messed Up http://www.barrons.com/articles/our-smartphone-priorities-are-all-messed-up-1493063653?mod=yahoobarrons&amp;ru=yahoo&amp;yptr=yahoo via https://finzine.com',None
Bullish,b'$AAPL will take another 1% day tomorrow',None
None,b'If that moron followed $AAPL# he&#39;ll conclude you earned even more',None
None,b'$GLW Watch fro a sneak peek of $AAPL',None
None,b'$AAPL why the eod sell off?',None
None,b'Apple iPhone Business Torn Between Value And Premium Handsets: http://ow.ly/A0Ns30b8ep0 $AAPL',None
Bullish,b'$AAPL I&#39;m out! Flat apple. Some1 tell that moron I netted a profit over $32#000 including Friday on that one option!',None
None,b'$AAPL didnt even try to retest the daily high...tomorrow is gonna suck',None
None,b'$AAPL I&#39;m sorry# but this ridiculous low volume is concerning to me.',None
None,b'Earnings reports will make or break these 5 popular stocks $NVDA $AAPL $FB http://finance.yahoo.com/news/earnings-reports-break-5-popular-122340963.html',None
None,b'$SPX $SPY how long can $AAPL $NDX hold this thing together lol',None
None,b'The Case for Apple and Space Internet http://bit.ly/240417AAPL2 $AAPL $TSLA',None
None,b'$AAPL what a crock of shit...wasted my whole day waiting on this thing for this...this thing waste so much of my day',Bearish
None,b'$AAPL That little dip dropped the weekly 144 calls 20% in 5 minutes. This is what I mentioned a half hour ago',Bearish
Bullish,b'After $GOOG reports earnings $AAPL $FB $CMG $TWTR $TSLA is next in line. It&#39;s going to be an exciting few weeks.',Bullish
None,b'$AAPL last tiny pullback before the pop',None
None,b'$AAPL too much chop after initial lift earlier today so I&#39;m flat calls# plus MMs are crooks',None
None,b'Will Self-Driving Cars Power Apple (AAPL) to New Highs?\n http://bit.ly/240417AAPL1 $AAPL $GOOG $GOOGL $TSLA $F',None
None,b'Profiting From Failure: The Wash &amp; Rinse Trade# Part I https://t.co/2LVBTOvbiY $TLT $AAPL $CL_F',Bearish
Bullish,b'$FB $aapl Cmon over inflated RSI&#39;s!!! Pop bubble!!',None
None,b'$AAPL Any news on div increase yet?',None
None,b'Top Stocks for Beginners http://bit.ly/240417AAPL $AAPL $DIS $MKC $JNJ',None
None,b'$SPY $AAPL $GOOG $FB $BAC $JPM $GS - earnings have been great. Financials are due for a strong bounce back to highs',Bullish
None,b'$SPY $AAPL $GOOG $FB $BAC $JPM $GS - if N. Korea/Trump don&#39;t provoke on another tomorrow# market will have continue the relief rally.',Bearish
None,b'$SPY $AAPL $GOOG $FB $BAC $JPM $GS- the 10 yr hasn&#39;t moved as anticipated. Market worried about N. Korea (army&#39;s 85th anniversary tomorrow)',None
None,b'Apple CEO Tim Cook Warned Uber CEO Travis Kalanick: Don&#39;t Break Our Rules https://benzinga.com/z/9335033 $AAPL',Bearish
Bullish,b'$BBRY All important Enterprise Value (EV) closer to only $3B.  Insanely cheap/likely TO candidate 4 MANY big tech. $15+ and soon IMO $aapl',None
None,b'$AAPL 143.50 test coming if 143.69 breaks. Just flat line all day! Thought we&#39;d hit 144.40.  No go# so live to trade another day.',Bearish
Bullish,b'$AAPL Using Apple&#39;s repeating stock pattern to trade options http://bit.ly/AAPL_vol',None
Bearish,b'$AAPL $fb Time to bail',Bearish
None,b'$AAPL nice movement if you are into 1-9 cent scalps',None
None,b'$AAPL I&#39;m out for now. OTM weekly calls getting burned and I&#39;m in an in the money that has too much risk exposure overnight.',Bearish
Bullish,b'$AAPL very interesting article#remember buy on rumors &amp; sell on the news &amp; shorts can get burned https://goo.gl/o9TTR5 with margin calls',Bearish
Bullish,b'$AAPL How to Trade Volatility in Apple Options http://bit.ly/AAPL_vol',Bearish
Bullish,b'$AAPL gap compared to Dow/Nasdaq is widening ... once released this will jump',None
None,b'$SPY $SPX $QQQ $AAPL nice!',None
Bullish,b'$AAPL got in at 116 so i am good and still holding long.',Bullish
None,b'$AAPL',None
Bullish,b'$AAPL 145 EOW??',None
Bullish,b'$SPY Get ready for the buying algos. $QQQ $AAPL',None
None,b'$AAPL Apple Lowers Affiliate Rate Commissions https://www.thestreet.com/story/14100478/1/apple-lowers-affiliate-rate-commissions.html?puc=yahoo&amp;cm_ven=YAHOO&amp;yptr=yahoo via https://finzine.com',None
None,b'Apple Lowers Affiliate Rate Commissions $AAPL http://dlvr.it/Nz8RCC',None
None,b'@okidoci $AAPL $AUPH $CHK $CNAT $LRCX $ORCL  .. This portfolio I&#39;m really investing heavily into energy and tech',None
None,b'$FB $AAPL  will tomorrow be another green day?',None
None,b'Your Go-To Swing-Trading Watch List in a Resuscitated Market - SharePlanner $AAPL $BA $ELY $CTXS $FEYE + more http://www.shareplanner.com/featured-blogs/ryan-mallory/trade-setups/23456-your-go-to-swing-trading-watch-list-in-a-resuscitated-market.html',None
Bullish,b'$AAPL ???',None
None,b'$AAPL  tgt. 146 resistance   Trying to correct weak chart signals short term# see live charts &amp; notes#http://stockcharts.com/public/1792807',Bearish
None,b'$AAPL Reportedly reducing App Store affiliate commissions to 2.5% from 7%# effective May 1st',Bullish
None,b'$AAPL $FB Stopped out of my May puts this morning.  Good thing I still have 5000 shares of Apple in my IRA since the late 1990&#39;s.',Bearish
Bullish,b'$SPY North Korea tests a nuke tonight# stocks rally to new highs again. New war toys go into production. $SPX $QQQ $AAPL',None
None,b'$AAPL more of the same tomorrow i think...probably not gonna move til wednesday...super annoying and boring',Bearish
Bullish,b'More and more $AAPL bashing before ER= fuel for big post ER rally (previous ER showed)',None
None,b'$SPY $AAPL ?????????',None
None,b'$AAPL wake me up in an hour',None
None,b'$AAPL WHEN DID AAPL MOVE ITS EARNINGS OUT TO MAY 2ND?',None
None,b'$AAPL $nflx got positions in both but want gem togonin opposite directions. I&#39;ll settle for a $15 spike with crapflix tho.',None
Bullish,b'I went really long at noon $SPY $SPX $QQQ $AAPL',None
None,b'$AAPL Is This What #Apple&#39;s #iPhone 8 Looks Like? https://www.thestreet.com/story/14100287/1/is-this-what-apple-s-iphone-8-looks-like.html',None
Bullish,b'@rndyjensen that&#39;s bullish for the $SPY $SPX and $QQQ $AAPL',None
Bullish,b'$SPY Trump talking 15% tax now. $DIS $BABA $AAPL',None
None,b'$FB $aapl ZZZzzz ZZZ zzz',None
None,b'$AAPL all green',None
None,b'$AAPL Company cuts App Store affiliate commission from 7% to 2.5% https://stocknews.com/news/aapl-company-cuts-app-store-affiliate-commission-from-7-to-2-5/',None
Bullish,b'$AAPL Arabs eye balling us tech companies after loosing trillions on oil get ready for $200-$300 era',None
None,b'Big Tech Is Taking on Diabetes http://bit.ly/240417AMZN3 $AMZN $AAPL $IBM $MRK',None
Bullish,b'$AAPL What is the consensus on earnings next week? Why r we thinking?',None
None,b'$AMZN $AAPL $NFLX $TSLA  next in line for record highs. $QQQ $SPY',None
None,b'$AAPL We should close at day highs. Already fear mongering NK on CNN and CNBC. Setting up the gap down. I&#39;ll be all cash exit 144.40',Bearish
Bullish,b'$AAPL inching towards that crossover...',None
None,b'$AAPL rally vs $CAVM $XLNX momo',None
None,b'$AAPL Eod Spike',None
None,b'$AAPL $GOOGL $BBRY $MSFT $AMZN  @jsomaney https://www.forbes.com/sites/jaysomaney/2017/04/24/is-apple-intentionally-going-to-delay-the-high-end-iphone-8-launch/#b8b5ba96b955',Bearish
None,b'$AAPL Why the iPhone 8 could cost a lot more than a typical iPhone# in one chart http://finance.yahoo.com/news/why-iphone-8-could-cost-182407990.html via https://finzine.com',None
None,b'$AAPL  slim must be very sick today',None
Bullish,b'$AAPL $200 easy call',Bullish
Bullish,b'$AAPL I officially hate the number 143.83',None
None,b'Dick Bove Calls Out The Financial Media https://benzinga.com/z/9336001 $AAPL',None
Bearish,b'$AAPL in puts here...',None
None,b'$AAPL Y&#39;all like that little &quot;screw with you&quot; sell program. Nice',None
None,b'$AAPL always got to have something to b(i)tch about....',None
None,b'Key $AAPL #Apple #iPhone8 Feature Leaked -  https://goo.gl/R799SI',None
Bullish,b'$AAPL this looks like sideways (a few cents up) until 3:55pm and then we jump 30-50 cents into the close',None
None,b'@harmongreg BBands on 15 min VERY narrow on $SPY $QQQ $AAPL $FB',None
None,b'$AAPL Max Pain = 140.00. Maturity = 04/28/2017. Previous close = 142.27.  http://bit.ly/2oxNF6E',None
None,b'$AAPL needs a good drop.....',Bullish
Bullish,b'$AAPL EOD WILL BE HOD!!!! It is confirmed',None
None,b'$AAPL Bots are good. We hit breakout then there was a rogue sweep and right back over 143.81. 144.40 close all day everyday.',Bullish
Bullish,b'$MVIS $AAPL $DJI $SPX $SPY $TSLA BULLS',None
None,b'$AAPL Rollercoaster today...',None
None,b'$AAPL you see it is confirmed',None
None,b'lets face it $AAPL suppliers always beat $AAPL no matter how u look at it $CRUS $SWKS $AVGO. Aboard Money wagon',None
Bullish,b'$AAPL is this it?',None
Bullish,b'My holdings $XXII $WM $AAPL $RTN $TSLA',None
None,b'$ISRG now 28% higher since our 1st buy alert @ $639.40. Congrats to all longs https://goo.gl/t0QMub $AAPL $SPY',None
Bearish,b'$amzn $IMNP $spy $AAPL $AMZN $QQQ   Short at will',None
Bullish,b'$AAPL the longer it is trying to break $143.80 the more violent the upwards move will be',Bearish
Bullish,b'$AAPL ... Short and intermediate views. http://www.61point8.com/Portals/0/article%20images/20170424/20170424AAPL1.png',None
None,b'Galaxy S8 Review: Samsung\x92s Back on Top $SSNLF $GOOGL $AAPL http://investorplace.com/2017/04/galaxy-s8-review-samsungs-back-top/',None
None,b'$AAPL got a feeling this might spike into close.',None
None,b'Monday Apple Rumors: iPhone 8 Dummy Unit Appears Online $AAPL http://investorplace.com/2017/04/apple-rumors-iphone-8-dummy-unit-aapl/',None
None,b'$AAPL Here is the next leg up. Like a turtle but we do have a small breakout at the 143.81',None
Bullish,b'$AAPL I guess buyers are pouring in for the big jump tue wensday for tax reform crazy buy volume coming in now',None
None,b'$AAPL Volume in calls and stock is lacking # new ATH in the QQQ  we will need another gapper this week to keep pace.',Bearish
None,b'$AAPL never seen a stock struggle breaking point goddamit',Bearish
None,b'4.24.17 Elliott Wave Updates For Big Tech: $AAPL $PCLN $NTES $AVGO   http://wavegenius.com/4-24-17-elliott-wave-updates-for-big-tech-aapl-p',None
Bullish,b'Investing/economics/markets news: https://business-piece.com/ We would also welcome new contributors $VRX $TSLA $SNAP $BAC $BABA $GOOGL $AAPL',None
None,b'$AAPL pretty sick',None
Bullish,b'$AAPL cover your shorts now befirebit is too late',Bearish
Bullish,b'$AAPL ready to breakup a lot i mean huge big baby',None
Bullish,b'$AAPL $200 easy just wait to see sugar watch adopted by billion ppl',Bullish
None,b'[MMO] Pop Through 50 DMA? Sold! https://youtu.be/7vqErt07ej8 $SPX and $AAPL weekly bear call spreads $SPY smash vol $VIX $VXX',None
Bullish,b'$AAPL trading in like a $.03-$.05 range for an hour and a half now.',None
Bullish,b'$AAPL going to 155',None
